MaterialComposition,Family,LongName,,
"Pb,1,Mg,0.3,Nb,0.6,O,3,Ti,0.1",PMN-PT,(1-x)[Pb(Mg1/3Nb2/3)O3]-x[PbTiO3],,
"Pb,3,Mg,0.85,Nb,1.7,O,9,Ti,0.45",PMN-PT,(1-x)[Pb(Mg1/3Nb2/3)O3]-x[PbTiO3],,
"Pb,1,Zr,0.95,Ti,0.05,O,3",PZT,Pb(Zr1?xTix)O3,,
"Pb,1,Zr,0.9,Ti,0.1,O,3",PZT,Pb(Zr1?xTix)O3,,
"Pb,1,Zr,0.6,Ti,0.4,O,3",PZT,Pb(Zr1?xTix)O3,,
"Pb,1,Zr,0.3,Ti,0.7,O,3",PZT,Pb(Zr1?xTix)O3,,
"Ba,1,Ti,1,O,3",BTO,BaTiO3,,
"Ba,0.9607074,Ca,0.0025246,Y,0.0105434,Nd,0.0069912,Ti,0.8709,Zr,0.1049,Mg,0.0047,Nb,0.0014,Mn,0.0105,Si,0.0023,O,2.9707",Y5V ,Y5V ,,
"Pb,0.88,La,0.08,Zr,0.65,Ti,0.35,O,3",PLZT,(Pb0.88La0.08)(Zr0.65Ti0.35)O3 ,,
"Pb,1,Sc,0.5,Ta,0.5,O,3",PST,PbSc0.5Ta0.5O3 ,,
"Pb,3,Mg,0.7,Nb,1.4,Ti,0.9,O,9",PMN-PT,(1-x)[Pb(Mg1/3Nb2/3)O3]-x[PbTiO3],,
"Ba,0.8,Sr,0.2,Ti,1,O,3",BST,Ba1-xSrxTiO3,,
"Ba,0.75,Sr,0.25,Ti,1,O,3",BST,Ba1-xSrxTiO3,,
"Ba,0.7,Sr,0.3,Ti,1,O,3",BST,Ba1-xSrxTiO3,,
"Ba,0.65,Sr,0.35,Ti,1,O,3",BST,Ba1-xSrxTiO3,,
"Ba,0.6,Sr,0.4,Ti,1,O,3",BST,Ba1-xSrxTiO3,,
"Na,0.5,Bi,0.5,Ti,1,O,3",NBT,(Na1/2Bi1/2)TiO3 ,,
"Na,0.41,K,0.09,Bi,0.5,Ti,1,O,3",NBT-KBT,(Na1/2Bi1/2)TiO3 -(K0.5Bi0.5)TiO3,,
"Na,0.47,Ba,0.06,Bi,0.47,Ti,1,O,3",NBT-BT,(Na1/2Bi1/2)TiO3 -BaTiO3,,
"Na,0.45,K,0.025,Ba,0.05,Bi,0.475,Ti,1,O,3",NBT-KBT-BT,(Na1/2Bi1/2)TiO3 -(K0.5Bi0.5)TiO3,,
"Ba,1,Ti,0.92,Sn,0.08,O,3",BTS,BaTi1-xSnxO3 ,,
"Ba,1,Ti,0.895,Sn,0.105,O,3",BTS,BaTi1-xSnxO3 ,,
"Ba,1,Ti,0.86,Sn,0.14,O,3",BTS,BaTi1-xSnxO3 ,,
"Ba,1,Zr,0.2,Ti,0.8,O,3",BZT,Ba(Zr x Ti 1-x )O 3,,
"Ba,0.8,Ca,0.2,Ti,1,O,3",BCTZ,Ba0.8Ca0.2(ZrxTi1-x)O3,,
"Ba,0.8,Ca,0.2,Zr,0.04,Ti,0.96,O,3",BCTZ,Ba0.8Ca0.2(ZrxTi1-x)O3,,
"Ba,0.8,Ca,0.2,Zr,0.1,Ti,0.9,O,3",BCTZ,Ba0.8Ca0.2(ZrxTi1-x)O3,,
"Ba,0.95,Ca,0.05,Zr,0.1,Ti,0.9,O,3",BCTZ,Ba0.8Ca0.2(ZrxTi1-x)O3,,
"Ba,1,Hf,0.03,Ti,0.97,O,3",BHT,BaHfxTi1-xO3,,
"Ba,1,Hf,0.11,Ti,0.89,O,3",BHT,BaHfxTi1-xO3,,
"Ba,1,Hf,0.17,Ti,0.83,O,3",BHT,BaHfxTi1-xO3,,
"Ba,0.904,Zr,0.136,Ca,0.096,Ti,0.864,O,3",BZT-BCT,(1-x)Ba(Zr0.2Ti0.8)O3?(x)(Ba0.7Ca0.3)TiO3,,
"Ba,0.895,Zr,0.13,Ca,0.105,Ti,0.87,O,3",BZT-BCT,(1-x)Ba(Zr0.2Ti0.8)O3?(x)(Ba0.7Ca0.3)TiO3,,
"Ba,0.889,Zr,0.126,Ca,0.111,Ti,0.874,O,3",BZT-BCT,(1-x)Ba(Zr0.2Ti0.8)O3?(x)(Ba0.7Ca0.3)TiO3,,
"Ba,0.88,Zr,0.12,Ca,0.12,Ti,0.88,O,3",BZT-BCT,(1-x)Ba(Zr0.2Ti0.8)O3?(x)(Ba0.7Ca0.3)TiO3,,
"Ba,0.865,Zr,0.11,Ca,0.135,Ti,0.89,O,3",BZT-BCT,(1-x)Ba(Zr0.2Ti0.8)O3?(x)(Ba0.7Ca0.3)TiO3,,
"Ba,1,Sn,0.08,Ti,0.92,O,3",BTS,BaTi1-xSnxO3 ,,
"Ba,1,Sn,0.11,Ti,0.89,O,3",BTS,BaTi1-xSnxO3 ,,
"Ba,1,Sn,0.14,Ti,0.86,O,3",BTS,BaTi1-xSnxO3 ,,
"Ba,1,Sn,0.15,Ti,0.85,O,3",BTS,BaTi1-xSnxO4,,
"Pb,0.3,Sr,0.7,Ti,1,O,3",PST,PbxSr1-xTiO3 ,,
"Pb,0.35,Sr,0.65,Ti,1,O,3",PST,PbxSr1-xTiO3 ,,
"Pb,0.4,Sr,0.6,Ti,1,O,3",PST,PbxSr1-xTiO3,,
"Pb,0.45,Sr,0.55,Ti,1,O,3",PST,PbxSr1-xTiO3,,
"Pb,0.5,Sr,0.5,Ti,1,O,3",PST,PbxSr1-xTiO3,,
"Pb,0.55,Sr,0.45,Ti,1,O,3",PST,PbxSr1-xTiO3,,
"Ba,0.85,Zr,0.1,Ti,0.9,Ca,0.15,O,3",BZT-BCT,(1-x)Ba(Zr0.2Ti0.8)O3?(x)(Ba0.7Ca0.3)TiO3,,
"Ba,1,Zr,0.12,Ti,0.88,O,3",BZT,Ba(ZrxTi1-x)O3 ,,
"Ba,1,Zr,0.15,Ti,0.85,O,3",BZT,Ba(ZrxTi1-x)O3 ,,
"Ba,0.85,Sr,0.15,Zr,0.15,Ti,0.85,O,3",BSZT,"Ba,1-x,Sr,x,Zr,y,Ti,1-y,O,3",,
"Ba,0.8,Sr,0.2,Zr,0.15,Ti,0.85,O,3",BSZT,"Ba,1-x,Sr,x,Zr,y,Ti,1-y,O,3",,
"Ba,0.75,Sr,0.25,Zr,0.15,Ti,0.85,O,3",BSZT,"Ba,1-x,Sr,x,Zr,y,Ti,1-y,O,3",,
"Ba,0.7,Sr,0.3,Zr,0.15,Ti,0.85,O,3",BSZT,"Ba,1-x,Sr,x,Zr,y,Ti,1-y,O,3",,
"Ba,0.85,Sr,0.15,Zr,0.2,Ti,0.8,O,3",BSZT,"Ba,1-x,Sr,x,Zr,y,Ti,1-y,O,3",,
"Ba,0.8,Sr,0.2,Zr,0.2,Ti,0.8,O,3",BSZT,"Ba,1-x,Sr,x,Zr,y,Ti,1-y,O,3",,
"Ba,0.75,Sr,0.25,Zr,0.2,Ti,0.8,O,3",BSZT,"Ba,1-x,Sr,x,Zr,y,Ti,1-y,O,3",,
