MaterialComposition,Tcurie (degree C),T (degree C),epsilon,Frequency (Hz),PaperID,,,,,
"Pb,1,Zr,0.57,Ti,0.43,O,3 ",326.85,-74.41903553,2264.54486,5000,2008_ortega_enhancedPolarization_PZT,,,,,
"Pb,1,Zr,0.57,Ti,0.43,O,3 ",326.85,-23.65761421,2460.365607,5000,2008_ortega_enhancedPolarization_PZT,,,,,
"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,25.83477157,2641.474884,5000,2008_ortega_enhancedPolarization_PZT,,,,,
"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,75.32715736,2773.504407,5000,2008_ortega_enhancedPolarization_PZT,,,,,
"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,124.8195431,2910.441905,5000,2008_ortega_enhancedPolarization_PZT,,,,,
"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,175.5809645,3086.63075,5000,2008_ortega_enhancedPolarization_PZT,,,,,
"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,226.3423858,3257.911619,5000,2008_ortega_enhancedPolarization_PZT,,,,,
"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,275.8347716,3419.388994,5000,2008_ortega_enhancedPolarization_PZT,,,,,
"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,301.2154822,3532.023294,5000,2008_ortega_enhancedPolarization_PZT,,,,,
"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,326.5961929,3585.761888,5000,2008_ortega_enhancedPolarization_PZT,,,,,
"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,335.4794416,3556.226838,5000,2008_ortega_enhancedPolarization_PZT,,,,,
"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,345.6317259,3536.495282,5000,2008_ortega_enhancedPolarization_PZT,,,,,
"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,355.7840102,3472.591947,5000,2008_ortega_enhancedPolarization_PZT,,,,,
"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,364.6672589,3452.872847,5000,2008_ortega_enhancedPolarization_PZT,,,,,
"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,374.8195431,3403.693438,5000,2008_ortega_enhancedPolarization_PZT,,,,,
"Pb,1,Zr,0.62,Ti,0.38,O,3",-1000,20,453.9988975,100000,1999_soares_phaseCoexistence_PZT,,,,,
"Pb,1,Zr,0.6,Ti,0.4,O,3",-1000,20,484.139927,100000,1999_soares_phaseCoexistence_PZT,,,,,
"Pb,1,Zr,0.57,Ti,0.43,O,3",-1000,20,562.3492661,100000,1999_soares_phaseCoexistence_PZT,,,,,
"Pb,1,Zr,0.55,Ti,0.45,O,3",-1000,20,643.2459747,100000,1999_soares_phaseCoexistence_PZT,,,,,
"Pb,1,Zr,0.54,Ti,0.46,O,3",-1000,20,861.3593036,100000,1999_soares_phaseCoexistence_PZT,,,,,
"Pb,1,Zr,0.53,Ti,0.47,O,3",-1000,20,1041.407309,100000,1999_soares_phaseCoexistence_PZT,,,,,
"Pb,1,Zr,0.52,Ti,0.48,O,3",-1000,20,1000.637389,100000,1999_soares_phaseCoexistence_PZT,,,,,
"Pb,1,Zr,0.51,Ti,0.49,O,3",-1000,20,820.2793027,100000,1999_soares_phaseCoexistence_PZT,,,,,
"Pb,1,Zr,0.49,Ti,0.51,O,3",-1000,20,687.9837839,100000,1999_soares_phaseCoexistence_PZT,,,,,
"Pb,1,Zr,0.47,Ti,0.53,O,3",-1000,20,563.3024784,100000,1999_soares_phaseCoexistence_PZT,,,,,
"Pb,1,Zr,0.45,Ti,0.55,O,3",-1000,20,463.9961412,100000,1999_soares_phaseCoexistence_PZT,,,,,
"Pb,1,Zr,0.9,Ti,0.1,O,3",257.85,57.13037383,1506.643392,100000,2010_ buixaderas_ultrabroadbandDielectric_PLZT,,,,,
"Pb,1,Zr,0.9,Ti,0.1,O,3",257.85,65.54158879,1562.130376,100000,2010_ buixaderas_ultrabroadbandDielectric_PLZT,,,,,
"Pb,1,Zr,0.9,Ti,0.1,O,3",257.85,73.95280374,1600.25238,100000,2010_ buixaderas_ultrabroadbandDielectric_PLZT,,,,,
