NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,MaterialComposition,Tcurie (degree C),T (degree C),epsilon,Frequency (Hz),Family,PaperID
4,0.648376434,0.609225569,0.600529863,0.600040057,0.60000102,27.652,74,24.554544,82,8,8,77.114,44,13.4176,87,43,87,65.555738,191.2006,62.51006854,207.2,15.9994,15.9994,562.52,2073.2,609.264,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.314,4,1.5768,6,2,2,102.51,109,43.812,175,66,66,2.81406,2.11,0.751128,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.16457,19.005,7.271484,28.11,9.105,9.105,0,0,0,0,0,0,1.94E-06,2.25E-05,3.54E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232095189,"Pb,1,Zr,0.57,Ti,0.43,O,3 ",326.85,-74.41903553,2264.54486,5000,PZT,2008_ortega_enhancedPolarization_PZT
4,0.648376434,0.609225569,0.600529863,0.600040057,0.60000102,27.652,74,24.554544,82,8,8,77.114,44,13.4176,87,43,87,65.555738,191.2006,62.51006854,207.2,15.9994,15.9994,562.52,2073.2,609.264,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.314,4,1.5768,6,2,2,102.51,109,43.812,175,66,66,2.81406,2.11,0.751128,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.16457,19.005,7.271484,28.11,9.105,9.105,0,0,0,0,0,0,1.94E-06,2.25E-05,3.54E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232095189,"Pb,1,Zr,0.57,Ti,0.43,O,3 ",326.85,-23.65761421,2460.365607,5000,PZT,2008_ortega_enhancedPolarization_PZT
4,0.648376434,0.609225569,0.600529863,0.600040057,0.60000102,27.652,74,24.554544,82,8,8,77.114,44,13.4176,87,43,87,65.555738,191.2006,62.51006854,207.2,15.9994,15.9994,562.52,2073.2,609.264,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.314,4,1.5768,6,2,2,102.51,109,43.812,175,66,66,2.81406,2.11,0.751128,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.16457,19.005,7.271484,28.11,9.105,9.105,0,0,0,0,0,0,1.94E-06,2.25E-05,3.54E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232095189,"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,25.83477157,2641.474884,5000,PZT,2008_ortega_enhancedPolarization_PZT
4,0.648376434,0.609225569,0.600529863,0.600040057,0.60000102,27.652,74,24.554544,82,8,8,77.114,44,13.4176,87,43,87,65.555738,191.2006,62.51006854,207.2,15.9994,15.9994,562.52,2073.2,609.264,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.314,4,1.5768,6,2,2,102.51,109,43.812,175,66,66,2.81406,2.11,0.751128,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.16457,19.005,7.271484,28.11,9.105,9.105,0,0,0,0,0,0,1.94E-06,2.25E-05,3.54E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232095189,"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,75.32715736,2773.504407,5000,PZT,2008_ortega_enhancedPolarization_PZT
4,0.648376434,0.609225569,0.600529863,0.600040057,0.60000102,27.652,74,24.554544,82,8,8,77.114,44,13.4176,87,43,87,65.555738,191.2006,62.51006854,207.2,15.9994,15.9994,562.52,2073.2,609.264,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.314,4,1.5768,6,2,2,102.51,109,43.812,175,66,66,2.81406,2.11,0.751128,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.16457,19.005,7.271484,28.11,9.105,9.105,0,0,0,0,0,0,1.94E-06,2.25E-05,3.54E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232095189,"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,124.8195431,2910.441905,5000,PZT,2008_ortega_enhancedPolarization_PZT
4,0.648376434,0.609225569,0.600529863,0.600040057,0.60000102,27.652,74,24.554544,82,8,8,77.114,44,13.4176,87,43,87,65.555738,191.2006,62.51006854,207.2,15.9994,15.9994,562.52,2073.2,609.264,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.314,4,1.5768,6,2,2,102.51,109,43.812,175,66,66,2.81406,2.11,0.751128,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.16457,19.005,7.271484,28.11,9.105,9.105,0,0,0,0,0,0,1.94E-06,2.25E-05,3.54E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232095189,"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,175.5809645,3086.63075,5000,PZT,2008_ortega_enhancedPolarization_PZT
4,0.648376434,0.609225569,0.600529863,0.600040057,0.60000102,27.652,74,24.554544,82,8,8,77.114,44,13.4176,87,43,87,65.555738,191.2006,62.51006854,207.2,15.9994,15.9994,562.52,2073.2,609.264,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.314,4,1.5768,6,2,2,102.51,109,43.812,175,66,66,2.81406,2.11,0.751128,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.16457,19.005,7.271484,28.11,9.105,9.105,0,0,0,0,0,0,1.94E-06,2.25E-05,3.54E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232095189,"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,226.3423858,3257.911619,5000,PZT,2008_ortega_enhancedPolarization_PZT
4,0.648376434,0.609225569,0.600529863,0.600040057,0.60000102,27.652,74,24.554544,82,8,8,77.114,44,13.4176,87,43,87,65.555738,191.2006,62.51006854,207.2,15.9994,15.9994,562.52,2073.2,609.264,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.314,4,1.5768,6,2,2,102.51,109,43.812,175,66,66,2.81406,2.11,0.751128,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.16457,19.005,7.271484,28.11,9.105,9.105,0,0,0,0,0,0,1.94E-06,2.25E-05,3.54E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232095189,"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,275.8347716,3419.388994,5000,PZT,2008_ortega_enhancedPolarization_PZT
4,0.648376434,0.609225569,0.600529863,0.600040057,0.60000102,27.652,74,24.554544,82,8,8,77.114,44,13.4176,87,43,87,65.555738,191.2006,62.51006854,207.2,15.9994,15.9994,562.52,2073.2,609.264,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.314,4,1.5768,6,2,2,102.51,109,43.812,175,66,66,2.81406,2.11,0.751128,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.16457,19.005,7.271484,28.11,9.105,9.105,0,0,0,0,0,0,1.94E-06,2.25E-05,3.54E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232095189,"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,301.2154822,3532.023294,5000,PZT,2008_ortega_enhancedPolarization_PZT
4,0.648376434,0.609225569,0.600529863,0.600040057,0.60000102,27.652,74,24.554544,82,8,8,77.114,44,13.4176,87,43,87,65.555738,191.2006,62.51006854,207.2,15.9994,15.9994,562.52,2073.2,609.264,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.314,4,1.5768,6,2,2,102.51,109,43.812,175,66,66,2.81406,2.11,0.751128,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.16457,19.005,7.271484,28.11,9.105,9.105,0,0,0,0,0,0,1.94E-06,2.25E-05,3.54E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232095189,"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,326.5961929,3585.761888,5000,PZT,2008_ortega_enhancedPolarization_PZT
